date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:04	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2007:35:05%20GMT	https://2022.ieeeicme.org/robots.txt		(from )
13:05:05	18291/18291	---M-Z	200	added ('OK')	text/html	etag:%2233c0555-4773-5e2be7e9390e5-gzip%22	https://2022.ieeeicme.org/	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/index.html	(from )
13:05:05	89546/89546	---M-Z	200	added ('OK')	application/javascript	etag:%2215dca-5e33762cbc564-gzip%22	https://cdn-cookieyes.com/client_data/369e5296de173a66739ac361/script.js	C:/My%20Web%20Sites/my%20college%20project/cdn-cookieyes.com/client_data/369e5296de173a66739ac361/script.js	(from https://2022.ieeeicme.org/)
13:05:06	16958/16958	---M--	200	added ('OK')	image/x-icon	etag:%2233c044c-423e-5d27c6382f81b%22	https://2022.ieeeicme.org/assets/favicon.ico	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/favicon.ico	(from https://2022.ieeeicme.org/)
13:05:06	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/my%20college%20project/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://2022.ieeeicme.org/)
13:05:06	39906/39906	---M-Z	200	added ('OK')	text/css	etag:%2233c0527-9be2-5e344312d0898-gzip%22	https://2022.ieeeicme.org/assets/css/main.css	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/css/main.css	(from https://2022.ieeeicme.org/)
13:05:06	2958/2958	---M-Z	200	added ('OK')	application/javascript	etag:%2233c352c-b8e-5e1797659bba3-gzip%22	https://2022.ieeeicme.org/assets/js/partials/navbar.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/partials/navbar.js	(from https://2022.ieeeicme.org/)
13:05:07	489/489	---M-Z	200	added ('OK')	application/javascript	etag:%2233c3524-1e9-5e2cbe30eb307-gzip%22	https://2022.ieeeicme.org/assets/js/partials/banner.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/partials/banner.js	(from https://2022.ieeeicme.org/)
13:05:07	10528/10528	---M-Z	200	added ('OK')	text/html	etag:%2233c00cd-2920-5e2be7ead2bc0-gzip%22	https://2022.ieeeicme.org/registration.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/registration.html	(from https://2022.ieeeicme.org/)
13:05:07	8160/8160	---M-Z	200	added ('OK')	text/html	etag:%2233c01bc-1fe0-5e17985664b34-gzip%22	https://2022.ieeeicme.org/cf-multimedia-star.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-multimedia-star.html	(from https://2022.ieeeicme.org/)
13:05:07	17771/17771	---M-Z	200	added ('OK')	text/html	etag:%2233c0ee6-456b-5e344432055b5-gzip%22	https://2022.ieeeicme.org/at-a-glance.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/at-a-glance.html	(from https://2022.ieeeicme.org/)
13:05:08	5293/5293	---M-Z	200	added ('OK')	text/html	etag:%2233c0e03-14ad-5e2b984081127-gzip%22	https://2022.ieeeicme.org/program-guide.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/program-guide.html	(from https://2022.ieeeicme.org/)
13:05:08	56970/56970	---M-Z	200	added ('OK')	text/html	etag:%2233c04b0-de8a-5e05bee8841f3-gzip%22	https://2022.ieeeicme.org/camera-ready-instructions.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/camera-ready-instructions.html	(from https://2022.ieeeicme.org/)
13:05:08	2402/2402	---M--	200	added ('OK')	image/jpeg	etag:%2233c04c7-962-5d27c6386ad59%22	https://2022.ieeeicme.org/assets/pdf.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/pdf.jpg	(from https://2022.ieeeicme.org/)
13:05:09	20207/20207	---M-Z	200	added ('OK')	text/html	etag:%2233c11f8-4eef-5e05bee53183b-gzip%22	https://2022.ieeeicme.org/workshops.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/workshops.html	(from https://2022.ieeeicme.org/)
13:05:09	22310/22310	---M-Z	200	added ('OK')	text/html	etag:%2233c3584-5726-5e161a2d7392f-gzip%22	https://2022.ieeeicme.org/keynote-speakers.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/keynote-speakers.html	(from https://2022.ieeeicme.org/)
13:05:09	167141/167141	---M--	200	added ('OK')	application/pdf	etag:%2233c04a9-28ce5-5da77dbe82f04%22	https://2022.ieeeicme.org/assets/Camera_Ready_Instruction.pdf	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/Camera_Ready_Instruction.pdf	(from https://2022.ieeeicme.org/)
13:05:10	34222/34222	---M--	200	added ('OK')	application/pdf	etag:%2233c04a5-85ae-5d9868de19f79%22	https://2022.ieeeicme.org/assets/accept_list.pdf	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/accept_list.pdf	(from https://2022.ieeeicme.org/)
13:05:10	23493/23493	---M-Z	200	added ('OK')	text/html	etag:%2233c0df3-5bc5-5e05bee862ac8-gzip%22	https://2022.ieeeicme.org/author-info.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/author-info.html	(from https://2022.ieeeicme.org/)
13:05:10	21805/21805	---M-Z	200	added ('OK')	text/html	etag:%2233c3896-552d-5e05bee533b63-gzip%22	https://2022.ieeeicme.org/tutorials.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/tutorials.html	(from https://2022.ieeeicme.org/)
13:05:10	44847/44847	---M-Z	200	added ('OK')	text/html	etag:%2233c370b-af2f-5e05bee5a76ff-gzip%22	https://2022.ieeeicme.org/special-sessions.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/special-sessions.html	(from https://2022.ieeeicme.org/)
13:05:10	5920/5920	---M-Z	200	added ('OK')	text/html	etag:%2233c055b-1720-5e05bee746bb2-gzip%22	https://2022.ieeeicme.org/cf-papers.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-papers.html	(from https://2022.ieeeicme.org/)
13:05:11	4257/4257	---M-Z	200	added ('OK')	application/javascript	etag:%2233c3533-10a1-5e306eedcde3d-gzip%22	https://2022.ieeeicme.org/assets/js/partials/sponsers.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/partials/sponsers.js	(from https://2022.ieeeicme.org/)
13:05:11	884/884	---M-Z	200	added ('OK')	application/javascript	etag:%2233c3528-374-5d27c72793c2d-gzip%22	https://2022.ieeeicme.org/assets/js/partials/footer.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/partials/footer.js	(from https://2022.ieeeicme.org/)
13:05:12	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%2233c12c2-15851-5d27c6aebd63e-gzip%22	https://2022.ieeeicme.org/assets/js/jquery.min.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/jquery.min.js	(from https://2022.ieeeicme.org/)
13:05:13	2179233/2179233	---M--	200	added ('OK')	application/pdf	etag:%2233c00d8-2140a1-5d27c6645e94f%22	https://2022.ieeeicme.org/assets/ICME_2022_CFP.pdf	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/ICME_2022_CFP.pdf	(from https://2022.ieeeicme.org/)
13:05:13	5105/5105	---M-Z	200	added ('OK')	application/javascript	etag:%2233c12c1-13f1-5d27c6adeb2e0-gzip%22	https://2022.ieeeicme.org/assets/js/jquery.dropotron.min.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/jquery.dropotron.min.js	(from https://2022.ieeeicme.org/)
13:05:14	1850/1850	---M-Z	200	added ('OK')	application/javascript	etag:%2233c12c0-73a-5d27c6ad9dc90-gzip%22	https://2022.ieeeicme.org/assets/js/browser.min.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/browser.min.js	(from https://2022.ieeeicme.org/)
13:05:14	2438/2438	---M-Z	200	added ('OK')	application/javascript	etag:%2233c12bf-986-5d27c6ad4e700-gzip%22	https://2022.ieeeicme.org/assets/js/breakpoints.min.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/breakpoints.min.js	(from https://2022.ieeeicme.org/)
13:05:14	11847/11847	---M-Z	200	added ('OK')	application/javascript	etag:%2233c12c4-2e47-5d27c6af6e658-gzip%22	https://2022.ieeeicme.org/assets/js/util.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/util.js	(from https://2022.ieeeicme.org/)
13:05:15	1272/1272	---M-Z	200	added ('OK')	application/javascript	etag:%2233c12c3-4f8-5d27c6af00c65-gzip%22	https://2022.ieeeicme.org/assets/js/main.js	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/js/main.js	(from https://2022.ieeeicme.org/)
13:05:15	55967/55967	---M-Z	200	added ('OK')	text/css	etag:%2233c04e0-da9f-5d27c63a443c2-gzip%22	https://2022.ieeeicme.org/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/css/fontawesome-all.min.css	(from https://2022.ieeeicme.org/assets/css/main.css)
13:05:15	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2007:35:16%20GMT	https://2022.ieeeicme.org/assets/css/assets/images/bg01.png	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/css/assets/images/bg01.png	(from https://2022.ieeeicme.org/assets/css/main.css)
13:05:16	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2007:35:16%20GMT	https://2022.ieeeicme.org/assets/css/assets/images/bg02.png	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/css/assets/images/bg02.png	(from https://2022.ieeeicme.org/assets/css/main.css)
13:05:16	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2007:35:17%20GMT	https://2022.ieeeicme.org/assets/css/assets/images/bg03.png	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/css/assets/images/bg03.png	(from https://2022.ieeeicme.org/assets/css/main.css)
13:05:16	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2007:35:17%20GMT	https://2022.ieeeicme.org/assets/css/assets/images/bg04.png	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/css/assets/images/bg04.png	(from https://2022.ieeeicme.org/assets/css/main.css)
13:05:17	58987/58987	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2007:35:17%20GMT	https://2022.ieeeicme.org/part1_1.php	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/part1_1.html	(from https://2022.ieeeicme.org/registration.html)
13:05:17	372830/372830	---M--	200	added ('OK')	image/jpeg	etag:%2233c12bb-5b05e-5d27c672b60f9%22	https://2022.ieeeicme.org/assets/images/taipei5.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/taipei5.jpg	(from https://2022.ieeeicme.org/assets/css/main.css)
13:05:18	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/my%20college%20project/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://2022.ieeeicme.org/program-guide.html)
13:05:18	28224/28224	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2233c04a3-6e40-5dab1d9427b6a%22	https://2022.ieeeicme.org/assets/templates/MSWord_template_ICME2022.docx	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/templates/MSWord_template_ICME2022.docx	(from https://2022.ieeeicme.org/camera-ready-instructions.html)
13:05:19	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%2233c0e01-107e-5e05bee7a4ba4-gzip%22	https://2022.ieeeicme.org/cf-industry-track-papers.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-industry-track-papers.html	(from https://2022.ieeeicme.org/camera-ready-instructions.html)
13:05:19	108999/108999	---M--	200	added ('OK')	application/zip	etag:%2233c04af-1a9c7-5dab1d936fa07%22	https://2022.ieeeicme.org/assets/templates/latex_template_ICME2022.zip	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/templates/latex_template_ICME2022.zip	(from https://2022.ieeeicme.org/camera-ready-instructions.html)
13:05:20	1316802/1316802	---M--	200	added ('OK')	application/pdf	etag:%2233c0ee9-1417c2-5e34455f8a169%22	https://2022.ieeeicme.org/assets/ICME22_program_guide.pdf	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/ICME22_program_guide.pdf	(from https://2022.ieeeicme.org/program-guide.html)
13:05:20	4675/4675	---M-Z	200	added ('OK')	text/html	etag:%2233c054b-1243-5e05bee7fa2dd-gzip%22	https://2022.ieeeicme.org/cf-demonstrations.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-demonstrations.html	(from https://2022.ieeeicme.org/camera-ready-instructions.html)
13:05:20	9679/9679	---M-Z	200	added ('OK')	text/html	etag:%2233c01c6-25cf-5e05bee647d78-gzip%22	https://2022.ieeeicme.org/grand-challenges.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/grand-challenges.html	(from https://2022.ieeeicme.org/camera-ready-instructions.html)
13:05:20	17246/17246	---M--	200	added ('OK')	image/jpeg	etag:%2233c12e1-435e-5d27c6e27ccb1%22	https://2022.ieeeicme.org/assets/images/keynote-speakers/Nicu_Sebe.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/keynote-speakers/Nicu_Sebe.jpg	(from https://2022.ieeeicme.org/keynote-speakers.html)
13:05:22	61165/61165	---M--	200	added ('OK')	image/jpeg	etag:%2233c12e0-eeed-5d27c6e21bddf%22	https://2022.ieeeicme.org/assets/images/keynote-speakers/Jia_Li.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/keynote-speakers/Jia_Li.jpg	(from https://2022.ieeeicme.org/keynote-speakers.html)
13:05:22	238842/238842	---M--	200	added ('OK')	image/jpeg	etag:%2233c04ad-3a4fa-5d9eb98449127%22	https://2022.ieeeicme.org/assets/images/keynote-speakers/Ted_Chang.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/keynote-speakers/Ted_Chang.jpg	(from https://2022.ieeeicme.org/keynote-speakers.html)
13:05:22	172453/172453	---M--	200	added ('OK')	image/jpeg	etag:%2233c3589-2a1a5-5d27e3d0bc218%22	https://2022.ieeeicme.org/assets/images/keynote-speakers/Jianfeng_Gao.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/keynote-speakers/Jianfeng_Gao.jpg	(from https://2022.ieeeicme.org/keynote-speakers.html)
13:05:22	24899/24899	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2233c12c8-6143-5d27c6b2a27c4%22	https://2022.ieeeicme.org/assets/templates/icme2022template.docx	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/templates/icme2022template.docx	(from https://2022.ieeeicme.org/author-info.html)
13:05:22	114449/114449	---M--	200	added ('OK')	application/zip	etag:%2233c12c9-1bf11-5d27c6b412e72%22	https://2022.ieeeicme.org/assets/templates/icme2022template.zip	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/templates/icme2022template.zip	(from https://2022.ieeeicme.org/author-info.html)
13:05:22	4906/4906	---M-Z	200	added ('OK')	text/html	etag:%2233c0474-132a-5e05bee7346b8-gzip%22	https://2022.ieeeicme.org/cf-ss-proposals.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-ss-proposals.html	(from https://2022.ieeeicme.org/author-info.html)
13:05:23	4802/4802	---M-Z	200	added ('OK')	text/html	etag:%2233c054e-12c2-5e05bee6e1a78-gzip%22	https://2022.ieeeicme.org/cf-workshop-proposals.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-workshop-proposals.html	(from https://2022.ieeeicme.org/author-info.html)
13:05:23	5041/5041	---M-Z	200	added ('OK')	text/html	etag:%2233c0c0d-13b1-5e179853c29c6-gzip%22	https://2022.ieeeicme.org/important-dates.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/important-dates.html	(from https://2022.ieeeicme.org/author-info.html)
13:05:23	7359/7359	---M-Z	200	added ('OK')	text/html	etag:%2233c0e00-1cbf-5e05bee7edf8c-gzip%22	https://2022.ieeeicme.org/cf-gc-proposals.html	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/cf-gc-proposals.html	(from https://2022.ieeeicme.org/author-info.html)
13:05:24	49262/49262	---M--	200	added ('OK')	image/jpeg	etag:%2233c3883-c06e-5d3555285f136%22	https://2022.ieeeicme.org/assets/images/tutorials/Ali_C_Begen.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/tutorials/Ali_C_Begen.jpg	(from https://2022.ieeeicme.org/tutorials.html)
13:05:24	39363/39363	---M--	200	added ('OK')	image/jpeg	etag:%2233c3893-99c3-5d35552964cd1%22	https://2022.ieeeicme.org/assets/images/tutorials/Ivan_Bajic.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/tutorials/Ivan_Bajic.jpg	(from https://2022.ieeeicme.org/tutorials.html)
13:05:24	37403/37403	---M--	200	added ('OK')	image/jpeg	etag:%2233c3895-921b-5d355529f8058%22	https://2022.ieeeicme.org/assets/images/tutorials/Yuezun_Li.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/tutorials/Yuezun_Li.jpg	(from https://2022.ieeeicme.org/tutorials.html)
13:05:25	55319/55319	---M--	200	added ('OK')	image/jpeg	etag:%2233c388e-d817-5d35552949f1e%22	https://2022.ieeeicme.org/assets/images/tutorials/Siwei_Lyu.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/tutorials/Siwei_Lyu.jpg	(from https://2022.ieeeicme.org/tutorials.html)
13:05:25	57250/57250	---M--	200	added ('OK')	image/jpeg	etag:%2233c3894-dfa2-5d355529e538e%22	https://2022.ieeeicme.org/assets/images/tutorials/Yipeng_Liu.jpg	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/images/tutorials/Yipeng_Liu.jpg	(from https://2022.ieeeicme.org/tutorials.html)
13:05:25	129352/129352	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233c12cb-1f948-5d27c6b5a5034%22	https://2022.ieeeicme.org/assets/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/webfonts/fa-brands-400d41d.eot	(from https://2022.ieeeicme.org/assets/css/fontawesome-all.min.css)
13:05:26	129352/129352	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233c12cb-1f948-5d27c6b5a5034%22	https://2022.ieeeicme.org/assets/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/my%20college%20project/2022.ieeeicme.org/assets/webfonts/fa-brands-400.eot	(from https://2022.ieeeicme.org/assets/css/fontawesome-all.min.css)
